,Date / Time,City,State,Shape
140,2016-04-12 19:32:00,Sioux Falls                         ,SD    ,Light     
141,2016-04-12 19:10:00,Arcade                              ,GA    ,Circle    
142,2016-04-12 19:00:00,Redwood Falls                       ,MN    ,Circle    
143,2016-04-12 18:15:00,Brinklow                            ,MD    ,Circle    
144,2016-04-12 18:00:00,Winter Harbor                       ,ME    ,Disk      
145,2016-04-12 17:30:00,Severn                              ,MD    ,Light     
146,2016-04-12 15:03:00,Mission Viejo                       ,CA    ,Light     
149,2016-03-12 23:37:00,Matawan                             ,NJ    ,Flash     
150,2016-03-12 21:00:00,Morgantown                          ,WV    ,Light     
151,2016-03-12 19:30:00,Corte Madera                        ,CA    ,Disk      
152,2016-03-12 18:15:00,Boone Grove                         ,IN    ,Disk      
153,2016-03-12 18:00:00,Rockville                           ,MD    ,Oval      
154,2016-03-12 17:15:00,North Snohomish                     ,WA    ,Formation 
155,2016-03-12 16:00:00,Whittier                            ,CA    ,Formation 
156,2016-03-12 16:00:00,Santa Cruz                          ,CA    ,Light     
158,2016-02-12 22:00:00,Philadelphia                        ,PA    ,Light     
159,2016-02-12 20:00:00,Reidsville                          ,NC    ,Light     
160,2016-02-12 18:00:00,Raphine                             ,VA    ,Circle    
161,2016-02-12 17:13:00,Chester                             ,VA    ,Other     
163,2016-02-12 09:26:00,Snellville                          ,GA    ,Triangle  
164,2016-01-12 20:35:00,Plainville                          ,CT    ,Circle    
165,2016-01-12 19:45:00,Portland                            ,TN    ,Light     
166,2016-01-12 18:52:00,Glendale                            ,AZ    ,Light     
167,2016-01-12 18:45:00,Conway                              ,SC    ,Formation 
168,2016-01-12 18:17:00,San Bernardino                      ,CA    ,Light     
169,2016-01-12 18:00:00,Amherst                             ,NY    ,Oval      
170,2016-01-12 17:30:00,Montgomery                          ,AL    ,Circle    
171,2016-01-12 16:30:00,Asbury Park                         ,NJ    ,Oval      
172,2016-11-30 23:45:00,Edmonds                             ,WA    ,Changing  
174,2016-11-30 21:00:00,Riverton                            ,WY    ,Circle    
175,2016-11-30 20:40:00,Radcliff                            ,KY    ,Triangle  
177,2016-11-30 19:30:00,Fayetteville                        ,TX    ,Triangle  
178,2016-11-29 23:30:00,Belmont                             ,MI    ,Circle    
179,2016-11-29 22:47:00,Bridgeport                          ,WV    ,Oval      
180,2016-11-29 22:27:00,American Canyon                     ,CA    ,Triangle  
181,2016-11-29 22:15:00,Colorado Springs                    ,CO    ,Triangle  
183,2016-11-29 20:15:00,Carlinville                         ,IL    ,Rectangle 
184,2016-11-29 19:45:00,Fairfield                           ,CA    ,Changing  
186,2016-11-29 19:00:00,Corona                              ,CA    ,Circle    
187,2016-11-29 18:50:00,Midland                             ,MI    ,Triangle  
188,2016-11-29 18:20:00,Janesville                          ,WI    ,Other     
189,2016-11-29 12:10:00,Plainfield                          ,IL    ,Changing  
190,2016-11-29 06:45:00,Happy Valley                        ,OR    ,Circle    
191,2016-11-29 06:00:00,Anchor Point                        ,AK    ,Fireball  
192,2016-11-29 00:17:00,Fishers                             ,IN    ,Triangle  
193,2016-11-28 23:00:00,Sutherlin                           ,OR    ,Other     
194,2016-11-28 23:00:00,Tazewell                            ,VA    ,Circle    
195,2016-11-28 22:00:00,Athol                               ,MA    ,Light     
196,2016-11-28 19:00:00,American Canyon                     ,CA    ,Chevron   
197,2016-11-28 18:48:00,Ste. Genevieve                      ,MO    ,Light     
198,2016-11-28 18:35:00,St. Petersburg                      ,FL    ,Circle    
199,2016-11-28 18:30:00,Waynesville                         ,MO    ,Light     
200,2016-11-28 18:00:00,Seekonk                             ,RI    ,Circle    
201,2016-11-28 17:15:00,Vineland                            ,NJ    ,Changing  
202,2016-11-28 16:45:00,Fairfield                           ,ME    ,Cross     
203,2016-11-28 06:51:00,Athens                              ,GA    ,Cigar     
204,2016-11-28 06:00:00,Centerville                         ,IL    ,Fireball  
205,2016-11-28 01:29:00,Mooresville                         ,NC    ,Light     
208,2016-11-27 19:30:00,St. Petersburg                      ,FL    ,Circle    
209,2016-11-27 16:58:00,Bay Shore                           ,NY    ,Light     
210,2016-11-27 12:45:00,Longmont                            ,CO    ,Rectangle 
211,2016-11-27 12:35:00,Kenmore                             ,WA    ,Circle    
213,2016-11-27 10:00:00,Allentown                           ,PA    ,Fireball  
214,2016-11-27 03:20:00,Lake Charles                        ,LA    ,Light     
215,2016-11-27 00:07:00,Raymond                             ,NE    ,Circle    
216,2016-11-26 23:42:00,Bailey                              ,CO    ,Disk      
217,2016-11-26 23:33:00,Bergen                              ,NY    ,Triangle  
218,2016-11-26 23:30:00,Middletown                          ,NY    ,Light     
219,2016-11-26 22:30:00,Charlotte                           ,NC    ,Light     
220,2016-11-26 22:00:00,Davenport                           ,FL    ,Circle    
221,2016-11-26 21:45:00,Allen Park                          ,MI    ,Light     
222,2016-11-26 19:35:00,Naugatuck                           ,CT    ,Light     
223,2016-11-26 19:27:00,Venice                              ,FL    ,Light     
224,2016-11-26 19:00:00,Fairview                            ,OR    ,Triangle  
225,2016-11-26 18:30:00,McDonough                           ,GA    ,Light     
226,2016-11-26 18:00:00,Spearfish                           ,SD    ,Disk      
227,2016-11-26 18:00:00,Shallotte                           ,NC    ,Changing  
228,2016-11-26 17:30:00,Brooklyn                            ,NY    ,Triangle  
229,2016-11-26 16:56:00,McChord AFB                         ,WA    ,Fireball  
230,2016-11-26 15:00:00,Vacaville                           ,CA    ,Sphere    
231,2016-11-26 04:00:00,West New York                       ,NJ    ,Light     
232,2016-11-25 22:00:00,Olathe                              ,KS    ,Chevron   
233,2016-11-25 20:47:00,Tyrone                              ,GA    ,Light     
234,2016-11-25 20:00:00,Vero Beach                          ,FL    ,Sphere    
235,2016-11-25 19:00:00,Bedford                             ,IN    ,Sphere    
236,2016-11-25 19:00:00,Nevada                              ,NV    ,Light     
237,2016-11-25 18:30:00,Brandon                             ,FL    ,Fireball  
239,2016-11-25 17:30:00,Torrance                            ,CA    ,Light     
240,2016-11-25 11:00:00,Longmont                            ,CO    ,Circle    
242,2016-11-25 01:30:00,Warner Robins                       ,GA    ,Light     
243,2016-11-25 01:11:00,Newcastle                           ,WA    ,Flash     
244,2016-11-24 23:00:00,Graham                              ,NC    ,Circle    
245,2016-11-24 21:45:00,Annapolis                           ,MD    ,Light     
246,2016-11-24 20:30:00,Balko                               ,OK    ,Light     
248,2016-11-24 19:12:00,Woodbridge                          ,NJ    ,Light     
249,2016-11-24 19:12:00,Woodbridge                          ,NJ    ,Oval      
250,2016-11-24 18:30:00,Oldsmar                             ,FL    ,Sphere    
251,2016-11-24 18:00:00,Zebulon                             ,NC    ,Disk      
252,2016-11-24 17:45:00,Monrovia                            ,MD    ,Light     
253,2016-11-24 03:00:00,Grand Junction                      ,CO    ,Disk      
254,2016-11-24 02:00:00,Colorado Springs                    ,CO    ,Light     
255,2016-11-24 00:05:00,D'iberville                         ,MS    ,Light     
256,2016-11-23 23:00:00,Tinton Falls                        ,NJ    ,Light     
257,2016-11-23 22:30:00,Beaverton                           ,OR    ,Disk      
258,2016-11-23 21:15:00,Central Square                      ,NY    ,Light     
260,2016-11-23 01:43:00,Poteau                              ,OK    ,Sphere    
261,2016-11-22 21:30:00,Mesa                                ,AZ    ,Light     
263,2016-11-22 21:10:00,Largo                               ,FL    ,Chevron   
264,2016-11-22 21:00:00,Beecher                             ,IL    ,Chevron   
265,2016-11-22 21:00:00,Santa Clara                         ,UT    ,Other     
266,2016-11-22 21:00:00,Santa Clara                         ,UT    ,Other     
267,2016-11-22 20:30:00,Derby                               ,KS    ,Flash     
268,2016-11-22 19:30:00,Cecil                               ,PA    ,Formation 
269,2016-11-22 16:17:00,Atkinson                            ,NH    ,Other     
270,2016-11-22 11:29:00,Brooklyn                            ,NY    ,Circle    
271,2016-11-22 11:00:00,Floral City                         ,FL    ,Chevron   
272,2016-11-22 07:50:00,Jarrettsville                       ,MD    ,Diamond   
273,2016-11-22 07:00:00,Gainesville                         ,GA    ,Other     
274,2016-11-22 05:20:00,San Diego                           ,CA    ,Sphere    
275,2016-11-22 04:45:00,Scarborough                         ,ME    ,Flash     
276,2016-11-22 02:30:00,Bismarck                            ,ND    ,Circle    
277,2016-11-21 23:35:00,Key Colony Beach                    ,FL    ,Light     
279,2016-11-21 18:25:00,Riverdale                           ,GA    ,Oval      
